id,nombre,unidad_medida_id,costo_base,activo,clase_sugerida,frecuencia_en_excel,unidad_referida,observaciones
1,1 TABLA,81,50000.0,True,INSUMO,2,30X30X2.5,derivado_de_excel; variantes=1; ejemplos=1 TABLA:2
2,2 COLAPATOS,,0.0,True,INSUMO,1,,derivado_de_excel; variantes=1; ejemplos=2 COLAPATOS:1
3,ALGODON,31,15000.0,True,INSUMO,7,CM,derivado_de_excel; variantes=1; ejemplos=ALGODON:7
4,ALGODON CILICONADO,3,14000.0,True,INSUMO,1,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ALGODON CILICONADO:1
5,APAGADOR CAFETERO,2,2000.0,True,INSUMO,6,unidades,derivado_de_excel; variantes=1; ejemplos=APAGADOR CAFETERO:6
6,APAGADORES,10,1500.0,True,INSUMO,33,PAR,derivado_de_excel; variantes=1; ejemplos=APAGADORES:33
7,BARILLA TRIPA POLLO,,15000.0,True,INSUMO,14,,derivado_de_excel; variantes=1; ejemplos=BARILLA TRIPA POLLO:14
8,BARRA DE SILICONA,5,2000.0,True,INSUMO,1,UNIDAD,derivado_de_excel; variantes=1; ejemplos=BARRA DE SILICONA:1
9,BISAGRAS,50,14000.0,True,INSUMO,1,PARES,derivado_de_excel; variantes=1; ejemplos=BISAGRAS:1
10,BISELADO DEL ESPEJO BORDE,5,7000.0,True,INSUMO,4,UNIDAD,derivado_de_excel; variantes=1; ejemplos=BISELADO DEL ESPEJO BORDE:4
11,BLANCO POLIURETANO,6,57500.0,True,INSUMO,12,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=BLANCO POLIURETANO:12
12,BOTONES,25,5000.0,True,INSUMO,5,JALADORES,derivado_de_excel; variantes=1; ejemplos=BOTONES:5
13,BUTACO,5,295200.0,True,INSUMO,1,UNIDAD,derivado_de_excel; variantes=1; ejemplos=BUTACO:1
14,CABLE,4,1500.0,True,INSUMO,12,METROS,derivado_de_excel; variantes=1; ejemplos=CABLE:12
15,CABLE # 12,4,2500.0,True,INSUMO,1,METROS,derivado_de_excel; variantes=1; ejemplos=CABLE # 12:1
16,CABLE DE 12,4,3000.0,True,INSUMO,32,METROS,derivado_de_excel; variantes=1; ejemplos=CABLE DE 12:32
17,CABULLA,23,17000.0,True,INSUMO,10,MTS,derivado_de_excel; variantes=1; ejemplos=CABULLA:10
18,CABUYA,34,11000.0,True,INSUMO,2,ROLLO,derivado_de_excel; variantes=1; ejemplos=CABUYA:2
19,CAFETERO,5,30000.0,True,INSUMO,3,UNIDAD,derivado_de_excel; variantes=1; ejemplos=CAFETERO:3
20,CAFETEROS,3,3000.0,True,INSUMO,1,UNIDADES,derivado_de_excel; variantes=1; ejemplos=CAFETEROS:1
21,CAJA DE GRAPAS,17,10000.0,True,INSUMO,3,CAJA,derivado_de_excel; variantes=1; ejemplos=CAJA DE GRAPAS:3
22,CANAMO,34,12000.0,True,INSUMO,23,ROLLO,derivado_de_excel; variantes=1; ejemplos=CANAMO:23
23,CANTO 19,4,1250.0,True,INSUMO,2,METROS,derivado_de_excel; variantes=1; ejemplos=CANTO 19:2
24,CANTO 40,4,1800.0,True,INSUMO,2,METROS,derivado_de_excel; variantes=1; ejemplos=CANTO 40:2
25,CAPACITADORES,2,0.0,True,INSUMO,1,unidades,derivado_de_excel; variantes=1; ejemplos=CAPACITADORES:1
26,CARTON,3,5000.0,True,INSUMO,42,UNIDADES,derivado_de_excel; variantes=1; ejemplos=CARTON:42
27,CASQUETES,3,300.0,True,INSUMO,10,UNIDADES,derivado_de_excel; variantes=1; ejemplos=CASQUETES:10
28,CAUCHO,29,1500.0,True,INSUMO,3,UNIIDAD,derivado_de_excel; variantes=1; ejemplos=CAUCHO:3
29,CAZATA,4,56000.0,True,INSUMO,11,METROS,derivado_de_excel; variantes=1; ejemplos=CAZATA:11
30,CHAPERAS,127,90000.0,True,INSUMO,1,JUEGO DE 4,derivado_de_excel; variantes=1; ejemplos=CHAPERAS:1
31,CIERRE MAGICO,40,1000.0,True,INSUMO,4,METRO,derivado_de_excel; variantes=1; ejemplos=CIERRE MAGICO:4
32,CILINDRICAS DE 15 CM ALTO,30,18000.0,True,INSUMO,2,* UNIDADES,derivado_de_excel; variantes=1; ejemplos=CILINDRICAS DE 15 CM ALTO:2
33,CLAVILLO,14,1000.0,True,INSUMO,41,TIRA,derivado_de_excel; variantes=1; ejemplos=CLAVILLO:41
34,CLAVILLO f.20,4,5000.0,True,INSUMO,2,METROS,derivado_de_excel; variantes=1; ejemplos=CLAVILLO f.20:2
35,CLAVILLO f.40,19,2000.0,True,INSUMO,2,TIRAS,derivado_de_excel; variantes=1; ejemplos=CLAVILLO f.40:2
36,CLAVILLO f.50,19,1000.0,True,INSUMO,11,TIRAS,derivado_de_excel; variantes=1; ejemplos=CLAVILLO f.50:11
37,CLAVILLO F40,19,1000.0,True,INSUMO,1,TIRAS,derivado_de_excel; variantes=1; ejemplos=CLAVILLO F40:1
38,CLAVILLOS,14,1000.0,True,INSUMO,45,TIRA,derivado_de_excel; variantes=1; ejemplos=CLAVILLOS:45
39,CLAVILLOS F40,14,28000.0,True,INSUMO,3,TIRA,derivado_de_excel; variantes=1; ejemplos=CLAVILLOS F40:3
