product_id,sheet_id,sheet_name,nombre,codigo,tipo_producto_nombre,tipo_producto_id,descripcion,activo,ancho_base,largo_base,alto_base,subtotal_cost,gain,sale_price,iva,grand_total
1,1,CAMA MODELO CHEMBER  (2),CAMA CHEMBER 2X2,cama-chember-2x2-001,Cama,1,,True,1.6,1.9,,2078336.85,623501.055,2701837.905,432294.0648,3134131.97
2,3,27-2-25 CAMA ROMANA CAPIT (2),"CAMA ROMANA ""CAPITONEADA 2*2",cama-romana-capitoneada-2-2-003,Cama,1,,True,1.6,1.9,,1823679.0,777471.6,2721150.6,435384.096,3156534.696
3,4,28-2-25  CAMA  DINASTIA ,CAMA DINASTIA 2*2,cama-dinastia-2-2-004,Cama,1,,True,1.6,1.9,,1661720.0,712688.0,2494408.0,399105.28,2893513.28
4,5,CAMA CADENETA ,cama del modelo cadeneta,cama-del-modelo-cadeneta-005,Cama,1,,True,1.6,1.9,,962538.6,962538.6,4171000.6,667360.096,4838360.696
5,6,CAMA DE2X2 CON GAVETA ,cama del modelo cadeneta,cama-del-modelo-cadeneta-006,Cama,1,,True,1.6,1.9,,1010084.4,1010084.4,4377032.4,700325.184,5077357.584
6,7,28-2-2025 CAMA  CANada (3),"CAMA ""CANADA 2*2",cama-canada-2-2-007,Cama,1,,True,1.6,1.9,,1762645.0,753058.0,2635703.0,421712.48,3057415.48
7,8,CAMA FRANYER ,CAMA MODELO FRANYER DE 2X2 10/06/2025,cama-modelo-franyer-de-2x2-10-06-2025-008,Cama,1,,True,1.6,1.9,,3099122.25,929736.675,4028858.925,644617.428,4673476.353
8,9,CAMA CHOCOLATINA ,CAMA MODELO CHOCOLATINA DE 2X2 10/06/2025,cama-modelo-chocolatina-de-2x2-10-06-2025-009,Cama,1,,True,1.6,1.9,,2954616.25,886384.875,3841001.125,614560.18,4455561.305
9,10,CAMA NAUTICA ,CAMA MODEO NAUTICA DE 2X2 10/06/2025,cama-modeo-nautica-de-2x2-10-06-2025-010,Cama,1,,True,1.6,1.9,,3062536.25,918760.875,3981297.125,637007.54,4618304.665
10,11,CAMA MODELO VENECIA ,CAMA MODELO VENECIA DE 2X2 10/06/2025,cama-modelo-venecia-de-2x2-10-06-2025-011,Cama,1,,True,1.6,1.9,,3068820.25,920646.075,3989466.325,638314.612,4627780.937
11,12,CAMA FILIPINA ,CAMA MODELOFILIPINA DE 2X2 10/06/2025,cama-modelofilipina-de-2x2-10-06-2025-012,Cama,1,,True,1.6,1.9,,2884886.25,865465.875,3750352.125,600056.34,4350408.465
12,13,CAMA EXAGONAL ,CAMA MODELO EZAGONAL DE 2X2 10/06/2025,cama-modelo-ezagonal-de-2x2-10-06-2025-013,Cama,1,,True,1.6,1.9,,3042288.75,912686.625,3954975.375,632796.06,4587771.435
13,14,CAMA DE MELAMINA DE 1.60,CAMA DE 1.60 CON MESA DE NOCHE 2/10/2025,cama-de-1-60-con-mesa-de-noche-2-10-2025-014,Cama,1,,True,1.6,1.9,,4146687.0,1114766.3,5261453.3,841832.528,6103285.828
14,15,CAMA DE MELAMINA DE 1.40 CON N ,CAMA DE 1.40 CON MESA DE NOCHE 7/07/2025,cama-de-1-40-con-mesa-de-noche-7-07-2025-015,Cama,1,,True,1.6,1.9,,2786915.76,1114766.3,3901682.06,624269.1296,4525951.19
15,16,CAMA CON HERRAJES ,CAMA MODELO HERRAJE EN CRUDO DE 2X2,cama-modelo-herraje-en-crudo-de-2x2-016,Cama,1,,True,1.6,1.9,,3346512.0,1003953.6,4350465.6,696074.496,5046540.096
16,17,NOCHERO 3 D SOLO (2),NOCHERO 3 D EN COLOR CHAMPANA,nochero-3-d-en-color-champana-017,Nochero,2,,True,1.6,1.9,,496256.0,148876.8,645132.8,103221.248,
17,18,CAMA YISED   8-08-25 (5),CAMA MODELO YISED DE 2X2 8/08/2025,cama-modelo-yised-de-2x2-8-08-2025-018,Cama,1,,True,1.6,1.9,,3038578.75,911573.625,3950152.375,632024.38,4582176.755
18,19,CAMA LONDRES  8-08-25 (4),CAMA MODELO LONDRES DE 2X2 8/08/2025,cama-modelo-londres-de-2x2-8-08-2025-019,Cama,1,,True,1.6,1.9,,2995218.75,898565.625,3893784.375,623005.5,4516789.875
19,20,CAMA TURKIA  8-08-25 (3),CAMA MODELO TURKIA DE 2X2 8/08/2025,cama-modelo-turkia-de-2x2-8-08-2025-020,Cama,1,,True,1.6,1.9,,3247808.75,974342.625,4222151.375,675544.22,4897695.595
20,21,CAMA KATY 8-08-25 (4),CAMA MODELO KATI DE 2X2 18/08/2025,cama-modelo-kati-de-2x2-18-08-2025-021,Cama,1,,True,1.6,1.9,,2947458.75,884237.625,3831696.375,613071.42,4444767.795
21,22,CAMA TABAY  8-08-25 (2),CAMA MODELO TABAY DE 2X2 18/08/2025,cama-modelo-tabay-de-2x2-18-08-2025-022,Cama,1,,True,1.6,1.9,,2981378.75,894413.625,3875792.375,620126.78,4495919.155
22,23,CAMA GRECIA 8-08-25 (2),CAMA MODELO GRECIA DE 2X2 18/08/2025,cama-modelo-grecia-de-2x2-18-08-2025-023,Cama,1,,True,1.6,1.9,,3100186.25,930055.875,4030242.125,644838.74,4675080.865
23,24,CAMA WUALPANEL ,CAMA MODELO WUALPANEL DE 2X2 28/08/2025,cama-modelo-wualpanel-de-2x2-28-08-2025-024,Cama,1,,True,1.6,1.9,,4030593.75,1209178.125,5239771.875,838363.5,6078135.375
24,25,CAMA EMILI 27-10-2025,CAMA EMILI 1.60 CON SUS NOCHEROS 16/09/2025,cama-emili-1-60-con-sus-nocheros-16-09-2025-025,Nochero,2,,True,1.6,1.9,,2953459.75,886037.925,3839497.675,614319.628,4453817.303
25,26,CAMA BRISA 27-10-2025,CAMA BRISA 2X2 CON SUS NOCHEROS 16/09/2025,cama-brisa-2x2-con-sus-nocheros-16-09-2025-026,Nochero,2,,True,1.6,1.9,,4188696.75,1256609.025,5445305.775,871248.924,6316554.699
26,27,CAMA PATSI 28-10-2025,27-10-2025 CAMA PATSI 2X2 CON SUS NOCHEROS,27-10-2025-cama-patsi-2x2-con-sus-nocheros-027,Nochero,2,,True,1.6,1.9,,3441884.75,1032565.425,4474450.175,715912.028,5190362.203
27,28,CAMA SAFIRO 28-10-2025 (2),CAMA SAFIRO 1.40 CON SUS NOCHEROS,cama-safiro-1-40-con-sus-nocheros-028,Nochero,2,,True,1.6,1.9,,3528127.85,1058438.355,4586566.205,733850.5928,5320416.798
28,29,CAMA HERAJE 28-9-2025,CAMA HERRAJE 1.60 CON SUS NOCHEROS,cama-herraje-1-60-con-sus-nocheros-029,Nochero,2,,True,1.6,1.9,,3004902.35,901470.705,3906373.055,625019.6888,4531392.744
29,30,CAMA DE MELAMINA 2X2 ISIDRO,03/11/25 CAMA 2X2 ISIDRO MELAMINA,03-11-25-cama-2x2-isidro-melamina-030,Cama,1,,True,1.6,1.9,,2838167.85,851450.355,3689618.205,590338.9128,4279957.118
30,31, CAMA DE MELAMINA 1.60 ISIDRO,03/11/25 CAMA 2X2 ISIDRO MELAMINA,03-11-25-cama-2x2-isidro-melamina-031,Cama,1,,True,1.6,1.9,,2144170.85,643251.255,2787422.105,445987.5368,3233409.642
31,32,CAMA 1.60 ISIDRO,01/11/25 CAMA 1.60 ISIDRO,01-11-25-cama-1-60-isidro-032,Cama,1,,True,1.6,1.9,,2419683.85,725905.155,3145589.005,503294.2408,3648883.246
32,33, CAMA 1.40 ISIDRO,01/11/25 CAMA 1.60 ISIDRO,01-11-25-cama-1-60-isidro-033,Cama,1,,True,1.6,1.9,,1852822.85,555846.855,2408669.705,385387.1528,2794056.858
33,34,CAMA HERRAJE 20-10-25,CAMA HERRAJE 1.60 CON SUS NOCHEROS,cama-herraje-1-60-con-sus-nocheros-034,Nochero,2,,True,1.6,1.9,,2399877.85,719963.355,3119841.205,499174.5928,3619015.798
34,35,CAMA MILANO 02-10-25,CAMA MILANO 1.40 CON SUS NOCHEROS,cama-milano-1-40-con-sus-nocheros-035,Nochero,2,,True,1.6,1.9,,1745177.85,523553.355,2268731.205,362996.9928,2631728.198
35,36,CAMA NIVE  1,CAMA ABANANADO 1.60 CON SUS NOCHEROS,cama-abananado-1-60-con-sus-nocheros-036,Nochero,2,,True,1.6,1.9,,3405749.1,1021724.73,4427473.83,708395.8128,5135869.643
36,37,CAMA HOLAS ,CAMA HOLAS 1.60 CON SUS NOCHEROS,cama-holas-1-60-con-sus-nocheros-037,Nochero,2,,True,1.6,1.9,,3519263.0,1055778.9,4575041.9,732006.704,5307048.604
37,38,CAMA MODELO MILANO ,CAMA MILANO 2X2CON SUS NOCHEROS,cama-milano-2x2con-sus-nocheros-038,Nochero,2,,True,1.6,1.9,,3282380.7,984714.21,4267094.91,682735.1856,4949830.096
38,39,CAMA ABANANADO 12-11-25,CAMA ABANANADO 1.60 CON SUS NOCHEROS,cama-abananado-1-60-con-sus-nocheros-039,Nochero,2,,True,1.6,1.9,,3358365.0,1007509.5,4365874.5,698539.92,5064414.42
39,40,MODELO BUBALU,CAMA BUBALU 2X2,cama-bubalu-2x2-040,Cama,1,,True,1.6,1.9,,3337862.6,1001358.78,4339221.38,694275.4208,5033496.801
40,41,MODELO MINIMALISTA ,CAMA MODELO MINIMALISTA 2X2,cama-modelo-minimalista-2x2-041,Cama,1,,True,1.6,1.9,,3210080.0,963024.0,4173104.0,667696.64,4840800.64
41,42,MODELO CHEMBER ,CAMA CHEMBER 2X2,cama-chember-2x2-042,Cama,1,,True,1.6,1.9,,3757000.1,1127100.03,4884100.13,781456.0208,5665556.151
42,43,MODELO RUZO ,CAMA RUZO 2X2,cama-ruzo-2x2-043,Cama,1,,True,1.6,1.9,,3458490.1,1037547.03,4496037.13,719365.9408,5215403.071
43,44,MODELO TINAJA ,CAMA TINAJA 2X2,cama-tinaja-2x2-044,Cama,1,,True,1.6,1.9,,3439058.1,1031717.43,4470775.53,715324.0848,5186099.615
44,45, MINIMALISTA ,CAMA MINIMALISTA 2X2,cama-minimalista-2x2-045,Cama,1,,True,1.6,1.9,,3179274.85,953782.455,4133057.305,661289.1688,4794346.474
45,46,CAMA TURKIA DE 1.60 DE MADERA ,"CAMA TURQUIA DE 1,60 24/02/2026",cama-turquia-de-1-60-24-02-2026-046,Cama,1,,True,1.6,1.9,,4326118.6,1730447.44,6056566.04,,0.0
46,47,MODELO MANANTIAL ,CAMA MANANTIAL 2X2,cama-manantial-2x2-047,Cama,1,,True,1.6,1.9,,3181284.85,954385.455,4135670.305,661707.2488,4797377.554
47,48,SOMIER Y ESPALDAR EVELYN JARAMI,SOMIER Y ESPALDAR EVELYN TRUJILLO,somier-y-espaldar-evelyn-trujillo-048,Cama,1,,True,1.6,1.9,,1101268.5,440507.4,1541775.9,,0.0
48,49,CAMA ESTRELLA..,"1 CAMAS ESTRELLAS DE 1,60 24/02/2026",1-camas-estrellas-de-1-60-24-02-2026-049,Cama,1,,True,1.6,1.9,,4319850.8,1727940.32,6047791.12,,0.0
49,50,ALDEMARYN MONTILVA,ALDEMARYN MONTILVA,aldemaryn-montilva-050,Otro,3,,True,1.6,1.9,,1339211.37,535684.548,1874895.918,,0.0
50,51,CAMA NUBE EL SOL,10/03/2026 CAMA EL SOL 2*2,10-03-2026-cama-el-sol-2-2-051,Cama,1,,True,1.6,1.9,,2856550.0,1142620.0,3999170.0,639867.2,4639037.2
51,52,"CAMA NUBE EL SOL1,40","10/03/2026 CAMA NUBE 1,40",10-03-2026-cama-nube-1-40-052,Cama,1,,True,1.6,1.9,,2676132.5,1070453.0,3746585.5,599453.68,4346039.18
52,53,CAMA NUBE  DIVERSA,10/03/2026 CAMA NUBE EL SOL 2*2,10-03-2026-cama-nube-el-sol-2-2-053,Cama,1,,True,1.6,1.9,,1249044.5,374713.35,1623757.85,259801.256,1883559.106
53,54,"CAMA NUBE 1,60","10/03/2026 CAMA EL SOL 1,60",10-03-2026-cama-el-sol-1-60-054,Cama,1,,True,1.6,1.9,,1090294.5,327088.35,1417382.85,226781.256,1644164.106
54,55,"CAMA MANANTIAL 1,60",10/03/2026 CAMA MANANTIAL EL SOL 2*2,10-03-2026-cama-manantial-el-sol-2-2-055,Cama,1,,True,1.6,1.9,,1252482.0,375744.6,1628226.6,260516.256,1888742.856
55,56,CAMA MANANTIAL 2 2,10/03/2026 CAMA MANANTIAL EL SOL 2*2,10-03-2026-cama-manantial-el-sol-2-2-056,Cama,1,,True,1.6,1.9,,3164290.0,1265716.0,4430006.0,708800.96,5138806.96
56,57,CAMA TAUPE,25/03/2026 CAMA TAUPE EL SOL 2*2,25-03-2026-cama-taupe-el-sol-2-2-057,Cama,1,,True,1.6,1.9,,3122170.0,1248868.0,4371038.0,699366.08,5070404.08
57,58,CAMA MINIMALISTA OLAYA,10/03/2026 CAMA MINIMALISTA EL SOL 2*2,10-03-2026-cama-minimalista-el-sol-2-2-058,Cama,1,,True,1.6,1.9,,2786570.0,1114628.0,3901198.0,624191.68,4525389.68
58,59,CAMA MARIANY,18/03/2026 CAMA CADENETA SIN ESPEJO Y USB DE 1.60,18-03-2026-cama-cadeneta-sin-espejo-y-usb-de--059,Cama,1,,True,1.6,1.9,,1622956.0,1622956.0,5680346.0,,5943232.03
59,60,CAMA NAUTICA WILMER,26/03/20266 CAMA NAUTICA 2*2,26-03-20266-cama-nautica-2-2-060,Cama,1,,True,1.6,1.9,,3114585.0,1245834.0,4360419.0,697667.04,5058086.04
60,61,CAMA DECO CHOCOLATINA ,2026-04-27 00:00:00,2026-04-27-00-00-00-061,Cama,1,,True,1.6,1.9,,875288.0,875288.0,3063508.0,,3063508.0
61,62,CAMA DE 1 METRO ABANANADO ,8//05/2026 CAMA DE 1 METRO CON SU BUTACO Y NOCHERO,8-05-2026-cama-de-1-metro-con-su-butaco-y-noc-062,Nochero,2,,True,1.6,1.9,,993784.4,993784.4,3478245.4,262886.03,3741131.43
62,63,CAMA CLASICA DE 1.60 ,8//05/2026 CAMA CLASICO EN BEMGUEY,8-05-2026-cama-clasico-en-bemguey-063,Cama,1,,True,1.6,1.9,,1122594.4,1122594.4,3929080.4,262886.03,4191966.43
63,64,CAMA PVC ,8//05/2026 CAMA PVC,8-05-2026-cama-pvc-064,Cama,1,,True,1.6,1.9,,1621284.4,1621284.4,5674495.4,262886.03,5937381.43
64,65,CAMA DOBLE BANANA,18/5/2026 CAMA NUBE,18-5-2026-cama-nube-065,Cama,1,,True,1.6,1.9,,820436.0,820436.0,2871526.0,,2871526.0
65,66,CAMA YURAIMA R,13/04/2026 CAMA CADENETA,13-04-2026-cama-cadeneta-066,Cama,1,,True,1.6,1.9,,1150856.24,1150856.24,4027996.84,262886.03,4290882.87
66,67,CAMA CHAMBRAY,26/5/2026 CAMA CHAMBRAY,26-5-2026-cama-chambray-067,Cama,1,,True,1.6,1.9,,848132.0,848132.0,2968462.0,262886.03,3231348.03
67,68,CAMA DE 2X2  FILA ,27/05/2026 CAMA DE 2X2 FILA,27-05-2026-cama-de-2x2-fila-068,Cama,1,,True,1.6,1.9,,689160.0,689160.0,2412060.0,262886.03,2674946.03
