nombre_producto,nombre_material,cantidad_base,tipo_escala,distancia_pauta_cm,tornillos_por_pieza,condicion_activacion,rangos,formula_personalizada,observaciones
CAMA CHEMBER 2X2,MADERA (2),700.0,FORMULA,,,,,,unidad_raw=APAMATE | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=140.0 | total_raw=98000.0
CAMA CHEMBER 2X2,MDF DE 3,1.0,FORMULA,,,,,,unidad_raw=LAMINA | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=65000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LAMINA DE 15,0.0,AREA,,,,,,unidad_raw=LAMINA | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=210000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LAMINA DE 5.5,1.0,FORMULA,,,,,,unidad_raw=LAMINA | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=130000.0 | total_raw=0.0
CAMA CHEMBER 2X2,COLBON,0.7,VOLUMEN,,,,,,unidad_raw=LITRO | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=14000.0 | total_raw=9800.0
CAMA CHEMBER 2X2,GRAPAS,0.12,ESPACIADO,,,,,,unidad_raw=CAJA | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=12000.0 | total_raw=1440.0
CAMA CHEMBER 2X2,GANCHOS,1.0,FIJO,,,,,,unidad_raw=PAR | seccion=EBANISTA WILMER MANO DE OBRA=
CAMA CHEMBER 2X2,F40,7.0,FORMULA,,,,,,unidad_raw=TIRAS | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=1000.0 | total_raw=7000.0
CAMA CHEMBER 2X2,"TORNILLOS DE 2""",100.0,ESPACIADO,,,,,,unidad_raw=Unidad | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=100.0 | total_raw=10000.0
CAMA CHEMBER 2X2,ebanisteria 300.000 x 5% de m.o,1.0,FORMULA,,,,,,seccion=EBANISTA WILMER MANO DE OBRA= | total_raw=315000.0
CAMA CHEMBER 2X2,gastos de Ebanisteria e 10%,1.0,FORMULA,,,,,,seccion=EBANISTA WILMER MANO DE OBRA= | total_raw=44124.0
CAMA CHEMBER 2X2,CORREDERAS 35 NORMAL,1.0,FIJO,,,,,,unidad_raw=PAR | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=12000.0 | total_raw=0.0
