product_id,sheet_id,sheet_name,product_name,category,line_items_count,raw_total_sum,subtotal_cost,gain,sale_price,iva,grand_total
1,1,CAMA MODELO CHEMBER  (2),CAMA CHEMBER 2X2,Cama,91,1600441.85,2078336.85,623501.055,2701837.905,432294.0648,3134131.97
2,3,27-2-25 CAMA ROMANA CAPIT (2),"CAMA ROMANA ""CAPITONEADA 2*2",Cama,36,1186669.0,1823679.0,777471.6,2721150.6,435384.096,3156534.696
3,4,28-2-25  CAMA  DINASTIA ,CAMA DINASTIA 2*2,Cama,49,1110470.0,1661720.0,712688.0,2494408.0,399105.28,2893513.28
4,5,CAMA CADENETA ,cama del modelo cadeneta,Cama,60,3208462.0,962538.6,962538.6,4171000.6,667360.096,4838360.696
5,6,CAMA DE2X2 CON GAVETA ,cama del modelo cadeneta,Cama,60,3366948.0,1010084.4,1010084.4,4377032.4,700325.184,5077357.584
6,7,28-2-2025 CAMA  CANada (3),"CAMA ""CANADA 2*2",Cama,50,1211395.0,1762645.0,753058.0,2635703.0,421712.48,3057415.48
7,8,CAMA FRANYER ,CAMA MODELO FRANYER DE 2X2 10/06/2025,Cama,87,3096622.25,3099122.25,929736.675,4028858.925,644617.428,4673476.353
8,9,CAMA CHOCOLATINA ,CAMA MODELO CHOCOLATINA DE 2X2 10/06/2025,Cama,87,2952116.25,2954616.25,886384.875,3841001.125,614560.18,4455561.305
9,10,CAMA NAUTICA ,CAMA MODEO NAUTICA DE 2X2 10/06/2025,Cama,86,3060036.25,3062536.25,918760.875,3981297.125,637007.54,4618304.665
10,11,CAMA MODELO VENECIA ,CAMA MODELO VENECIA DE 2X2 10/06/2025,Cama,86,3046320.25,3068820.25,920646.075,3989466.325,638314.612,4627780.937
11,12,CAMA FILIPINA ,CAMA MODELOFILIPINA DE 2X2 10/06/2025,Cama,86,2882386.25,2884886.25,865465.875,3750352.125,600056.34,4350408.465
12,13,CAMA EXAGONAL ,CAMA MODELO EZAGONAL DE 2X2 10/06/2025,Cama,87,3019788.75,3042288.75,912686.625,3954975.375,632796.06,4587771.435
13,14,CAMA DE MELAMINA DE 1.60,CAMA DE 1.60 CON MESA DE NOCHE 2/10/2025,Cama,87,6765187.0,4146687.0,1114766.3,5261453.3,841832.528,6103285.828
14,15,CAMA DE MELAMINA DE 1.40 CON N ,CAMA DE 1.40 CON MESA DE NOCHE 7/07/2025,Cama,90,4135957.0,2786915.76,1114766.3,3901682.06,624269.1296,4525951.19
15,16,CAMA CON HERRAJES ,CAMA MODELO HERRAJE EN CRUDO DE 2X2,Cama,85,3870657.0,3346512.0,1003953.6,4350465.6,696074.496,5046540.096
16,17,NOCHERO 3 D SOLO (2),NOCHERO 3 D EN COLOR CHAMPANA,Nochero,40,496256.0,496256.0,148876.8,645132.8,103221.248,
17,18,CAMA YISED   8-08-25 (5),CAMA MODELO YISED DE 2X2 8/08/2025,Cama,89,2925778.75,3038578.75,911573.625,3950152.375,632024.38,4582176.755
18,19,CAMA LONDRES  8-08-25 (4),CAMA MODELO LONDRES DE 2X2 8/08/2025,Cama,89,2882418.75,2995218.75,898565.625,3893784.375,623005.5,4516789.875
19,20,CAMA TURKIA  8-08-25 (3),CAMA MODELO TURKIA DE 2X2 8/08/2025,Cama,89,3135008.75,3247808.75,974342.625,4222151.375,675544.22,4897695.595
20,21,CAMA KATY 8-08-25 (4),CAMA MODELO KATI DE 2X2 18/08/2025,Cama,89,2834658.75,2947458.75,884237.625,3831696.375,613071.42,4444767.795
21,22,CAMA TABAY  8-08-25 (2),CAMA MODELO TABAY DE 2X2 18/08/2025,Cama,87,2868578.75,2981378.75,894413.625,3875792.375,620126.78,4495919.155
22,23,CAMA GRECIA 8-08-25 (2),CAMA MODELO GRECIA DE 2X2 18/08/2025,Cama,86,2987386.25,3100186.25,930055.875,4030242.125,644838.74,4675080.865
23,24,CAMA WUALPANEL ,CAMA MODELO WUALPANEL DE 2X2 28/08/2025,Cama,90,3989793.75,4030593.75,1209178.125,5239771.875,838363.5,6078135.375
24,25,CAMA EMILI 27-10-2025,CAMA EMILI 1.60 CON SUS NOCHEROS 16/09/2025,Nochero,91,2951039.75,2953459.75,886037.925,3839497.675,614319.628,4453817.303
25,26,CAMA BRISA 27-10-2025,CAMA BRISA 2X2 CON SUS NOCHEROS 16/09/2025,Nochero,87,4186276.75,4188696.75,1256609.025,5445305.775,871248.924,6316554.699
26,27,CAMA PATSI 28-10-2025,27-10-2025 CAMA PATSI 2X2 CON SUS NOCHEROS,Nochero,87,3439464.75,3441884.75,1032565.425,4474450.175,715912.028,5190362.203
27,28,CAMA SAFIRO 28-10-2025 (2),CAMA SAFIRO 1.40 CON SUS NOCHEROS,Nochero,94,3502607.85,3528127.85,1058438.355,4586566.205,733850.5928,5320416.798
28,29,CAMA HERAJE 28-9-2025,CAMA HERRAJE 1.60 CON SUS NOCHEROS,Nochero,89,3002482.35,3004902.35,901470.705,3906373.055,625019.6888,4531392.744
