id,nombre,abreviatura,observaciones
1,LITRO,LITRO,derivado_de_excel; frecuencia=337
2,Unidades,unidades,derivado_de_excel; frecuencia=322
3,UNIDADES,UNIDADES,derivado_de_excel; frecuencia=300
4,METROS,METROS,derivado_de_excel; frecuencia=286
5,UNIDAD,UNIDAD,derivado_de_excel; frecuencia=286
6,PISTOLADA,PISTOLADA,derivado_de_excel; frecuencia=279
7,CON EL 5%,CON EL 5%,derivado_de_excel; frecuencia=270
8,Unidad,Unidad,derivado_de_excel; frecuencia=249
9,LAMINA,LAMINA,derivado_de_excel; frecuencia=239
10,PAR,PAR,derivado_de_excel; frecuencia=230
11,Unidad,unidad,derivado_de_excel; frecuencia=215
12,Galon,galon,derivado_de_excel; frecuencia=192
13,PISTOLADAS,PISTOLADAS,derivado_de_excel; frecuencia=145
14,TIRA,TIRA,derivado_de_excel; frecuencia=114
15,GALON,GALON,derivado_de_excel; frecuencia=105
16,APAMATE,APAMATE,derivado_de_excel; frecuencia=84
17,CAJA,CAJA,derivado_de_excel; frecuencia=67
18,CAJA DE GRAPAS,CAJA DE GR,derivado_de_excel; frecuencia=61
19,TIRAS,TIRAS,derivado_de_excel; frecuencia=57
20,Litro,litro,derivado_de_excel; frecuencia=57
21,Litros,litros,derivado_de_excel; frecuencia=52
22,ML,ML,derivado_de_excel; frecuencia=48
23,MTS,MTS,derivado_de_excel; frecuencia=45
24,"1 PEDASO DE 1,50X40=60",1 PEDASO D,derivado_de_excel; frecuencia=43
25,JALADORES,JALADORES,derivado_de_excel; frecuencia=43
26,LITROS,LITROS,derivado_de_excel; frecuencia=39
27,CMS,CMS,derivado_de_excel; frecuencia=37
28,MANO DE OBRA=,MANO DE OB,derivado_de_excel; frecuencia=34
29,UNIIDAD,UNIIDAD,derivado_de_excel; frecuencia=24
30,* UNIDADES,* UNIDADES,derivado_de_excel; frecuencia=23
31,CM,CM,derivado_de_excel; frecuencia=23
32,1 PEDAZO DE 1.00X46=46,1 PEDAZO D,derivado_de_excel; frecuencia=22
33,"2,10X22X18= 832 2,10X20X15=630","2,10X22X18",derivado_de_excel; frecuencia=22
34,ROLLO,ROLLO,derivado_de_excel; frecuencia=22
35,1 PEDASO DE 1.50X40=60,1 PEDASO D,derivado_de_excel; frecuencia=21
36,"1 PEDASO DE 1.25 X55=68,75",1 PEDASO D,derivado_de_excel; frecuencia=20
37,"1 PEDAZO DE 1,20X45=54",1 PEDAZO D,derivado_de_excel; frecuencia=20
38,CAMA,CAMA,derivado_de_excel; frecuencia=20
39,DE 2X2,DE 2X2,derivado_de_excel; frecuencia=18
40,METRO,METRO,derivado_de_excel; frecuencia=16
41,*5%,*5%,derivado_de_excel; frecuencia=15
42,UNITARIO,UNITARIO,derivado_de_excel; frecuencia=15
43,* METRO,* METRO,derivado_de_excel; frecuencia=13
44,2X25X15,2X25X15,derivado_de_excel; frecuencia=13
45,3 PEASOS DE 49X49,3 PEASOS D,derivado_de_excel; frecuencia=13
